points
2
2
no function
0.842121224884626 -0.488537256379335
0.736816535954394 0.521143751200453
0.974707601153253 0.0513303622250592
1.08584606179295 0.216639163635034
-0.656923607866714 -0.703745192957826
0.592630976416733 0.828967418311881
0.415103933716022 -0.922041185551136
-0.896349222079622 -0.304916495185059
-0.738625157694486 0.617720616892037
0.960174505281344 -0.445992327158971
-0.0623606857084302 -0.916491204892969
1.14853137971325 -0.147023883670852
-0.849803106734981 0.608106094345107
-0.952846823440781 -0.164229519224485
0.147250192489876 1.04544434265786
0.841296499076317 -0.583522314093511
0.806726995211664 0.466786424303433
1.1393621535391 -0.0949800938647012
0.622587243536956 0.925024929513174
0.259059129609367 -0.877234185937076
-0.877388401506694 0.472462712212217
-1.12864633469186 -0.25716532457315
-1.1495517496081 0.124714098570718
-0.400256343071027 -1.0762447758188
0.919056173648749 0.0193215450014399
1.04036662695532 0.471425374905307
-0.36481399462939 -0.880456055743698
-0.61951120181754 0.856706654637327
-0.221498035090551 0.943851004406296
-0.969107558280176 0.428217007669506
0.906556705157976 -0.43331953436556
-0.756164666432874 0.450996655245049
0.221964125479662 0.888545736777847
-0.465883937047406 0.925975430293096
-0.219845532089128 0.991578340222702
-0.819550182188698 -0.170469699713876
0.986811692303272 0.487649692162258
1.00813878928571 -0.499711398921445
-1.00176036854057 -0.0679119873603613
-0.434598475933143 0.870646962452747
0.80985782057454 -0.596724624296778
-1.06979979560916 -0.223515683204255
0.867989265066027 -0.401527613147075
-0.603430588551246 -1.05747423872428
-0.225981153844007 0.93761632607326
-0.840769205621963 0.740120151080465
-1.03787418057092 0.513306577779589
-0.895676559866476 0.451608759200101
0.353814992831335 -0.836136690306861
-0.941972076204782 -0.14750153940963
0.390221820411651 -1.02864458220203
-1.05063821292698 0.515085367312597
-0.21489162158635 0.80334205005622
0.197858563656495 -0.993132904294701
-1.08589003710247 0.307494799827071
-0.979328303273763 0.193236945365101
-0.496116848034028 1.13935836657259
-0.54732918270327 -0.442859951379002
-0.255715449264306 -0.903060921249897
-0.54709642815525 0.778199118905559
-0.748228513170341 0.624225909302879
0.0455169505392232 -0.944288942108503
0.876050847172479 0.571227895687607
-0.774671828510446 0.658808359347614
0.773718480295184 -0.562460851981259
-0.878079822219738 0.430206909540452
-0.499693003477866 -0.870359248746297
0.194974304402418 1.08079776203628
1.13520530801602 -0.203340720532462
-0.911225683513142 -0.164139820376643
0.557377143753561 0.80158150492924
0.0707921776593815 0.854678940167724
0.396138981909961 -0.983269269729114
-0.99218154391342 0.124682869407539
0.694966462411106 -0.613188337582208
0.698773589658123 0.811607216453701
-0.364443393052501 -0.902163785662112
0.448793198121347 -0.867504015656277
0.645331464384323 -0.778248478529105
0.578297452905267 1.04000560737
1.02636848056224 0.348935480312056
0.884506489372411 -0.0618930215787528
-0.0027501956414384 0.979571461658555
1.20834058854009 -0.429843379338107
-0.908350345095699 0.726638419209249
0.515684697192028 -0.93193968435948
